NodeID,TurnID,StartLink,EndLink,TurnType,TurnOper,Remark,geometry
N233014170,1,L233020990,L233021020,106,0,,POINT Z (305069.888 4126177.597 45.622)
N233014190,1,L233021010,L233020990,106,0,,POINT Z (305066.743 4126174.573 45.622)
N233014240,1,L233021060,L233021030,106,0,,POINT Z (305066.323 4126125.919 36.708)
N233014250,1,L233021040,L233021060,106,0,,POINT Z (305070.05 4126124.047 36.728)
N233014320,1,L233021160,L233021140,106,0,,POINT Z (305072.271 4126154.742 36.14)
N233014330,1,L233021140,L233021150,106,0,,POINT Z (305072.38 4126157.13 36.131)
N233014380,1,L233021220,L233021230,106,0,,POINT Z (306048.608 4125003.011 43.816)
N233014410,1,L233021240,L233021220,106,0,,POINT Z (306047.355 4124998.895 43.816)
N233014440,1,L233021280,L233021340,106,0,,POINT Z (305157.138 4123838.825 32.951)
N233014450,1,L233021360,L233021280,106,0,,POINT Z (305161.211 4123840.425 32.98)
N233014480,1,L233021260,L233021350,106,0,,POINT Z (305211.725 4123832.495 33.754)
N233014490,1,L233021330,L233021260,106,0,,POINT Z (305215.457 4123831.02 33.344)
N233014590,1,L233021460,L233021350,106,0,,POINT Z (304572.16854540055 4122111.5356906187 33.09721235352966)
N233014610,1,L233021480,L233021460,106,0,,POINT Z (304569.04578377906 4122108.974536009 33.140113490027524)
N233014660,1,L233021530,L233021520,106,0,,POINT Z (304928.599 4121854.312 34.178)
N233014670,1,L233021520,L233021540,106,0,,POINT Z (304932.532 4121853.585 34.151)
N233014680,1,L233021580,L233021550,106,0,,POINT Z (305119.006 4121919.203 36.839)
N233014700,1,L233021560,L233021580,106,0,,POINT Z (305121.991 4121922.285 36.953)
N233014780,1,L233021610,L233021660,106,0,,POINT Z (304925.652 4121819.39 34.742)
N233014790,1,L233021660,L233021620,106,0,,POINT Z (304926.918 4121816.418 34.775)
N233014840,1,L233021680,L233021700,106,0,,POINT Z (305460.561 4121515.805 45.055)
N233014850,1,L233021700,L233021670,106,0,,POINT Z (305458.281 4121519.01 44.961)
N233013630,1,L233019570,L233019530,101,0,,POINT Z (306567.902 4119157.262 76.412)
N233013650,1,L233019550,L233019500,101,0,,POINT Z (306576.068 4119155.157 76.444)
N233018070,1,L233023250,L233023190,106,0,,POINT Z (308127.846 4120568.782 69.72)
N233018100,1,L233023200,L233023250,106,0,,POINT Z (308123.943 4120568.063 69.456)
N233018170,1,L233023620,L233023280,101,0,,POINT Z (307802.025 4120685.267 58.314)
N233018190,1,L233023630,L233023310,101,0,,POINT Z (307796.053 4120691.701 58.352)
N233018270,1,L233023930,L233024620,106,0,,POINT Z (306059.587 4120435.756 34.135)
N233018330,1,L233024650,L233023990,106,0,,POINT Z (306163.822 4120279.841 34.296)
N233018340,1,L233024000,L233024650,106,0,,POINT Z (306166.324 4120279.791 34.298)
N233018630,1,L233024780,L233023870,101,0,,POINT Z (306633.371 4120228.508 38.45)
N233018670,1,L233024440,L233024420,106,0,,POINT Z (306020.034 4120267.868 33.541)
N233018680,1,L233024410,L233024440,106,0,,POINT Z (306017.392 4120267.476 33.544)
N233018750,1,L233024730,L233023880,106,0,,POINT Z (306626.212 4120231.802 38.475)
N233018800,1,L233024890,L233024870,106,0,,POINT Z (306534.106 4120198.498 38.294)
N233018810,1,L233024870,L233025450,106,0,,POINT Z (306531.09 4120197.472 38.316)
N233018830,1,L233024480,L233024470,106,0,,POINT Z (306053.202 4120275.966 33.601)
N233018860,1,L233024810,L233024820,106,0,,POINT Z (306822.761 4120425.508 39.378)
N233018870,1,L233023870,L233024730,106,0,,POINT Z (306631.171 4120233.694 38.522)
N233018880,1,L233024820,L233024830,106,0,,POINT Z (306818.772 4120421.55 39.37)
N233018890,1,L233024510,L233024480,106,0,,POINT Z (306056.842 4120276.46 33.615)
N233015140,1,L233014550,L233014570,106,0,,POINT Z (307468.598 4120174.397 58.103)
N233015170,1,L233014590,L233014550,106,0,,POINT Z (307466.019 4120172.991 58.13)
N233015290,1,L233013280,L233013300,106,0,,POINT Z (307504.584 4119881.885 78.926)
N233015310,1,L233013300,L233013320,106,0,,POINT Z (307503.447 4119887.032 78.884)
N233015420,1,L233013580,L233013600,106,0,,POINT Z (307165.387 4119912.197 65.812)
N233015410,1,L233013950,L233013910,106,0,,POINT Z (307192.948 4119961.019 64.097)
N233015420,1,L233013600,L233013560,106,0,,POINT Z (307165.174 4119910.34 65.873)
N233015470,1,L233014000,L233014020,106,0,,POINT Z (307982.786 4119975.828 70.891)
N233015620,1,L233014250,L233014210,106,0,,POINT Z (308025.589 4120036.922 75.152)
N233015630,1,L233014210,L233014230,106,0,,POINT Z (308027.893 4120037.548 75.285)
N233015650,1,L233013910,L233013920,106,0,,POINT Z (307194.754 4119963.174 64.079)
N233015680,1,L233015190,L233014450,106,0,,POINT Z (307569.365 4120064.182 62.966)
N233015700,1,L233014520,L233014480,106,0,,POINT Z (307411.733 4120136.45 60.971)
N233015730,1,L233014450,L233014390,106,0,,POINT Z (307569.916 4120060.628 63.137)
N233015770,1,L233013620,L233013650,101,0,,POINT Z (307902.61 4119926.932 66.191)
N233015820,1,L233013740,L233013780,106,0,,POINT Z (307992.117 4119943.339 70.363)
N233015830,1,L233013980,L233014000,106,0,,POINT Z (307983.58 4119972.952 70.828)
N233015840,1,L233013780,L233013770,106,0,,POINT Z (307989.037 4119942.986 70.268)
N233015850,1,L233013650,L233013670,106,0,,POINT Z (307901.59 4119932.741 66.197)
N233015870,1,L233013670,L233013660,106,0,,POINT Z (307895.63 4119932.038 65.936)
N233015900,1,L233013810,L233013820,101,0,,POINT Z (308103.486 4119952.224 74.59)
N233015960,1,L233014770,L233014750,106,0,,POINT Z (307854.468 4120306.535 68.646)
N233016050,1,L233012680,L233012660,106,0,,POINT Z (307295.593 4119688.209 68.149)
N233016070,1,L233012740,L233012770,106,0,,POINT Z (307274.385 4119724.609 68.751)
N233016210,1,L233012870,L233012820,106,0,,POINT Z (307601.743 4119728.064 76.595)
N233016320,1,L233014080,L233014130,106,0,,POINT Z (307584.451 4120000.875 66.39)
N233016410,1,L233014060,L233014080,106,0,,POINT Z (307585.214 4119995.028 66.68)
N233016420,1,L233014480,L233014490,106,0,,POINT Z (307413.938 4120138.177 60.851)
N233016460,1,L233012660,L233012640,106,0,,POINT Z (307297.399 4119685.919 68.132)
N233016530,1,L233012820,L233012900,106,0,,POINT Z (307602.465 4119730.853 76.519)
N233016720,1,L233012980,L233013000,106,0,,POINT Z (307250.36 4119755.128 69.51)
N233016750,1,L233012770,L233012790,106,0,,POINT Z (307272.456 4119727.048 68.817)
N233016760,1,L233012960,L233012980,106,0,,POINT Z (307252.224 4119752.766 69.466)
N233011430,1,L233025550,L233019350,106,0,,POINT Z (306831.712 4119980.772 44.922)
N233019170,1,L233022260,L233022230,106,0,,POINT Z (307056.624 4120074.044 54.806)
N233019180,1,L233022230,L233022270,106,0,,POINT Z (307058.003 4120079.443 55.011)
N233019210,1,L233022040,L233022070,106,0,,POINT Z (306753.428 4119951.563 40.111)
N233019220,1,L233022070,L233022060,106,0,,POINT Z (306746.743 4119948.129 40.042)
N233019270,1,L233022710,L233022700,106,0,,POINT Z (307388.685 4120512.708 51.933)
N233019280,1,L233022580,L233022710,106,0,,POINT Z (307395.695 4120513.024 52.222)
N233019380,1,L233022520,L233022550,106,0,,POINT Z (307321.171 4120503.154 49.509)
N233019390,1,L233022550,L233022600,106,0,,POINT Z (307322.041 4120509.77 49.508)
N233019610,1,L233022180,L233022170,106,0,,POINT Z (306837.378 4119988.236 45.262)
N233019620,1,L233022140,L233022180,106,0,,POINT Z (306843.24 4119990.183 45.535)
N233019670,1,L233023100,L233023120,106,0,,POINT Z (307403.415 4120816.5 42.524)
N233019680,1,L233023080,L233023100,106,0,,POINT Z (307403.162 4120813.796 42.487)
N233010180,1,L233018670,L233018640,106,0,,POINT Z (306656.22 4119772.379 47.548)
