StationID,StationLat,StationLon,StationX,StationY,StaName,SwalkWidth,existence,CurbHeight,CurbType,Fence,LinkID,StationDis,RStationLt,RStationLn,RStationX,RStationY,StationEli,Wheelchair,Remark,geometry
S233000020,37.2199915,126.8071044,305435,4121530,,1.6,0,0.0,,0,L233021710,607.064,,,,,0,0,,POINT Z (305435.46959072904 4121529.971041646 45.954)
S233000030,37.2196304,126.8074275,305463,4121489,,2.8,0,0.0,,0,L233020910,25.242,37.2196238,126.8074071,305461.0,4121489.0,1,1,,POINT Z (305463.2080929738 4121489.236345132 45.954)
S233000040,37.2188455,126.80831,305540,4121400,,2.1,0,0.0,,0,L233020910,143.673,37.2188413,126.8082994,305539.0,4121400.0,1,1,,POINT Z (305539.50457666005 4121400.327125831 45.954)
S233000050,37.2183748,126.8089954,305599,4121347,,2.9,0,0.0,,0,L233020910,225.437,37.2183585,126.8089848,305598.0,4121345.0,1,1,,POINT Z (305599.11514078354 4121346.697126699 45.954)
S233000060,37.2182131,126.8101803,305704,4121326,,1.9,0,0.0,,0,L233020910,339.173,37.2182004,126.8101894,305705.0,4121325.0,1,1,,POINT Z (305703.8522947879 4121326.323542285 45.954)
S233000070,37.2188604,126.8113997,305814,4121396,,2.3,0,0.0,,0,L233020910,470.904,37.2188475,126.8114076,305814.0,4121394.0,1,1,,POINT Z (305813.71509355516 4121395.6482365546 45.954)
S233000080,37.2193034,126.8123871,305902,4121443,,1.6,0,0.0,,0,L233020910,572.491,,,,,0,0,,POINT Z (305902.47681992233 4121442.778105362 45.954)
S233000090,37.2195596,126.8137018,306020,4121469,,2.5,0,0.0,,0,L233020910,693.059,37.2195481,126.8137076,306020.0,4121467.0,1,1,,POINT Z (306019.7888126379 4121468.508846506 45.954)
S233000100,37.2215189,126.8085129,305564,4121697,,1.8,0,0.0,,0,L233020780,27.415,,,,,0,0,,POINT Z (305564.37898268976 4121696.549508601 45.954)
S233000110,37.2207575,126.8083846,305551,4121612,,3.0,0,0.0,,0,L233020780,124.878,37.2207642,126.808363,305549.0,4121613.0,1,1,,POINT Z (305551.0331391441 4121612.33806576 45.954)
S233000120,37.2200085,126.8075753,305477,4121531,,1.5,0,0.0,,0,L233020780,249.983,,,,,0,0,,POINT Z (305477.29999088496 4121530.8927228204 45.954)
S233000130,37.2200817,126.8078875,305505,4121538,,2.2,0,0.0,,0,L233020890,50.544,37.22007,126.8078925,305506.0,4121537.0,1,1,,POINT Z (305505.1918505282 4121538.364783489 45.954)
S233000140,37.2208668,126.8084797,305560,4121624,,2.3,0,0.0,,0,L233020890,164.107,37.2208591,126.8084999,305562.0,4121623.0,1,1,,POINT Z (305559.75853590696 4121624.2649045167 45.954)
S233000150,37.2215213,126.8085025,305563,4121697,,2.8,0,0.0,,0,L233020890,254.75,37.2215325,126.8085037,305564.0,4121698.0,1,1,,POINT Z (305563.461591381 4121696.846226484 45.954)
S233000160,37.2185864,126.8086486,305569,4121371,,1.5,0,0.0,,0,L233020800,558.739,,,,,0,0,,POINT Z (305568.88329365617 4121370.887648301 45.954)
S233000170,37.2192474,126.8078961,305504,4121446,,1.7,0,0.0,,0,L233020800,658.732,,,,,0,0,,POINT Z (305503.8107703643 4121445.7723412593 45.954)
S233000180,37.219951,126.8072592,305449,4121525,,1.5,0,0.0,,0,L233021690,11.06,,,,,0,0,,POINT Z (305449.1050027787 4121525.155373723 45.954)
S233000190,37.2207497,126.8062003,305357,4121616,,2.2,0,0.0,,0,L233021690,144.347,37.2207594,126.8062159,305359.0,4121617.0,1,1,,POINT Z (305357.1875965453 4121615.9565500887 45.954)
S233000200,37.2210398,126.8055605,305301,4121649,,1.7,0,0.0,,0,L233021690,211.047,,,,,0,0,,POINT Z (305301.16307900683 4121649.4645058927 45.954)
S233000210,37.2213019,126.8045056,305208,4121681,,1.6,0,0.0,,0,L233021690,311.04,,,,,0,0,,POINT Z (305208.2295331672 4121680.7186985244 45.954)
S233000220,37.221603,126.8034503,305115,4121716,,1.5,0,0.0,,0,L233021690,411.033,,,,,0,0,,POINT Z (305115.36253998714 4121716.3018234703 45.954)
S233000230,37.2220851,126.8025105,305033,4121772,,1.6,0,0.0,,0,L233021690,511.026,,,,,0,0,,POINT Z (305033.209786006 4121771.7234336757 45.954)
