NodeID,NodeLat,NodeLon,NodeX,NodeY,NodeType,NodeName,TurnP,Remark,geometry
N233010160,37.2044317,126.8213367,306659,4119774,101,,0,,POINT Z (306658.675 4119774.311 47.529)
N233010170,37.2044541,126.8251105,306994,4119769,101,,0,,POINT Z (306993.674 4119769.095 48.657)
N233010180,37.2044138,126.8213096,306656,4119772,101,,1,좌회전 금지,POINT Z (306656.22 4119772.379 47.548)
N233010190,37.2044381,126.8251269,306995,4119767,101,,0,,POINT Z (306995.085 4119767.289 48.755)
N233010200,37.2044757,126.8251846,307000,4119771,102,,0,,POINT Z (307000.299 4119771.343 48.811)
N233010210,37.2043969,126.8213201,306657,4119770,101,,1,좌회전 금지,POINT Z (306657.11 4119770.481 47.605)
N233010220,37.2044207,126.8250605,306989,4119765,101,,0,,POINT Z (306989.144 4119765.497 48.639)
N233010230,37.2047935,126.8247609,306964,4119807,101,,0,,POINT Z (306963.503 4119807.475 47.051)
N233010240,37.198923,126.8235555,306842,4119159,102,,0,,POINT Z (306841.554 4119158.545 55.307)
N233010250,37.1989451,126.8234967,306836,4119161,101,,1,좌회전 금지,POINT Z (306836.396 4119161.119 55.277)
N233010260,37.1989362,126.8234164,306829,4119160,101,,0,,POINT Z (306829.246 4119160.299 55.364)
N233010270,37.198302,126.823053,306795,4119091,102,,0,,POINT Z (306795.371 4119090.671 58.118)
N233010280,37.2050577,126.8207041,306604,4119845,101,,0,,POINT Z (306604.123 4119845.06 44.439)
N233010290,37.1988893,126.8235388,306840,4119155,102,,0,,POINT Z (306839.987 4119154.843 55.279)
N233010300,37.2006968,126.8223069,306735,4119358,102,,0,,POINT Z (306735.255 4119357.91 51.792)
N233010310,37.2006391,126.8238637,306873,4119348,102,,0,,POINT Z (306873.282 4119348.332 49.793)
N233010320,37.201064,126.8220146,306710,4119399,101,,1,좌회전 금지,POINT Z (306710.249 4119399.254 51.152)
N233010330,37.2002022,126.8228939,306786,4119302,101,,0,,POINT Z (306786.091 4119301.838 53.126)
N233010340,37.2007204,126.8222816,306733,4119361,102,,0,,POINT Z (306733.07 4119360.579 51.723)
N233010350,37.2007489,126.8223281,306737,4119364,101,,1,좌회전 금지,POINT Z (306737.267 4119363.645 51.671)
N233010360,37.2007247,126.822354,306740,4119361,101,,1,좌회전 금지,POINT Z (306739.508 4119360.917 51.74)
N233010370,37.2007768,126.8237602,306864,4119364,101,,0,,POINT Z (306864.449 4119363.83 49.883)
N233010380,37.2007669,126.8238556,306873,4119363,101,,0,,POINT Z (306872.89 4119362.532 49.644)
N233010390,37.2007802,126.8223792,306742,4119367,101,,0,,POINT Z (306741.882 4119367.022 51.621)
N233010400,37.2008112,126.823812,306869,4119368,101,,0,,POINT Z (306869.136 4119367.541 49.683)
N233010410,37.2010875,126.8220739,306716,4119402,101,,0,,POINT Z (306715.568 4119401.736 51.022)
N233010420,37.2010369,126.8284504,307281,4119383,102,,0,,POINT Z (307281.41 4119383.129 59.542)
N233010430,37.2010911,126.828587,307294,4119389,101,,0,,POINT Z (307293.673 4119388.866 59.805)
N233010440,37.200878,126.8237487,306864,4119375,102,,0,,POINT Z (306863.685 4119375.077 49.932)
N233010450,37.2008485,126.8237043,306860,4119372,102,,0,,POINT Z (306859.675 4119371.893 50.138)
N233010460,37.2001617,126.8229352,306790,4119297,101,,0,,POINT Z (306789.652 4119297.262 53.199)
N233010470,37.1996035,126.8237253,306858,4119234,101,,1,좌회전 금지,POINT Z (306858.365 4119233.713 54.614)
N233010480,37.2001933,126.822984,306794,4119301,101,,0,,POINT Z (306794.072 4119300.668 53.064)
N233010490,37.2011329,126.8220372,306712,4119407,101,,0,,POINT Z (306712.431 4119406.848 50.918)
N233010500,37.20111,126.8285673,307292,4119391,101,,0,,POINT Z (307291.972 4119391.004 59.791)
N233010510,37.2010779,126.828516,307287,4119388,101,,1,좌회전 금지,POINT Z (307287.334 4119387.547 59.77)
N233010520,37.201339,126.8283306,307272,4119417,101,,1,좌회전 금지,POINT Z (307271.544 4119416.891 59.778)
N233010530,37.2010596,126.8285351,307289,4119385,101,,1,좌회전 금지,POINT Z (307288.987 4119385.478 59.774)
N233010540,37.2010181,126.8284666,307283,4119381,102,,0,,POINT Z (307282.803 4119381.008 59.442)
N233010550,37.2006483,126.8289652,307326,4119339,101,,1,좌회전 금지,POINT Z (307326.116 4119338.963 60.052)
N233010560,37.2011056,126.8219803,306707,4119404,101,,1,좌회전 금지,POINT Z (306707.309 4119403.942 51.078)
N233010570,37.2002345,126.8229417,306790,4119305,101,,0,,POINT Z (306790.422 4119305.321 52.995)
N233010580,37.2007292,126.8237966,306868,4119358,101,,0,,POINT Z (306867.56 4119358.468 49.864)
N233010590,37.2007551,126.8224051,306744,4119364,101,,0,,POINT Z (306744.121 4119364.18 51.683)
N233010600,37.2023607,126.8270553,307161,4119533,102,,0,,POINT Z (307160.953 4119532.859 57.032)
N233010610,37.2021404,126.8215,306667,4119520,102,,0,,POINT Z (306667.318 4119519.738 50.014)
N233010620,37.2021524,126.8217349,306688,4119521,101,,0,,POINT Z (306688.193 4119520.588 48.941)
N233010630,37.2021779,126.8218765,306701,4119523,102,,0,,POINT Z (306700.832 4119523.129 48.895)
N233010640,37.2021099,126.8215114,306668,4119516,102,,0,,POINT Z (306668.249 4119516.335 50.019)
N233010650,37.2022288,126.8218592,306699,4119529,102,,0,,POINT Z (306699.423 4119528.816 48.771)
N233010660,37.2024455,126.8271835,307173,4119542,101,,0,,POINT Z (307172.548 4119542.009 57.437)
N233010670,37.2029203,126.8212334,306646,4119607,101,,0,,POINT Z (306645.647 4119606.823 48.521)
N233010680,37.2017411,126.8255079,307022,4119467,102,,0,,POINT Z (307022.028 4119467.255 46.532)
N233010690,37.2027141,126.826821,307141,4119573,101,,0,,POINT Z (307141.059 4119572.546 56.103)
N233010700,37.2021636,126.821799,306694,4119522,101,,0,,POINT Z (306693.916 4119521.699 48.853)
N233010710,37.202211,126.8217814,306692,4119527,101,,0,,POINT Z (306692.478 4119526.996 48.782)
N233010720,37.2021962,126.8217203,306687,4119525,101,,0,,POINT Z (306687.012 4119525.478 48.856)
N233010730,37.2014081,126.8284412,307282,4119424,102,,0,,POINT Z (307281.533 4119424.337 59.961)
N233010740,37.2013073,126.8282799,307267,4119413,101,,0,,POINT Z (307266.966 4119413.478 59.694)
N233010750,37.2015207,126.8218655,306698,4119450,101,,0,,POINT Z (306698.177 4119450.228 50.046)
N233010760,37.2015095,126.8218003,306692,4119449,101,,1,좌회전 금지,POINT Z (306692.364 4119449.118 50.238)
N233010770,37.2015644,126.8280148,307244,4119443,101,,1,좌회전 금지,POINT Z (307244.088 4119442.55 59.342)
N233010780,37.2013673,126.8283021,307269,4119420,101,,1,좌회전 금지,POINT Z (307269.085 4119420.094 59.77)
N233010790,37.2015315,126.8217963,306692,4119452,101,,1,좌회전 금지,POINT Z (306692.066 4119451.568 50.183)
N233010800,37.2014366,126.8284105,307279,4119428,102,,0,,POINT Z (307278.883 4119427.564 60.108)
N233010810,37.2013349,126.8282514,307265,4119417,101,,0,,POINT Z (307264.5 4119416.598 59.612)
N233010820,37.2015967,126.8280672,307249,4119446,101,,0,,POINT Z (307248.818 4119446.026 59.284)
N233010830,37.2015047,126.827918,307235,4119436,102,,0,,POINT Z (307235.345 4119436.124 59.001)
N233010840,37.2006803,126.8290098,307330,4119342,101,,0,,POINT Z (307330.151 4119342.426 60.019)
N233010850,37.2006875,126.8239316,306879,4119354,102,,0,,POINT Z (306879.436 4119353.567 49.732)
N233010860,37.2006229,126.8289962,307329,4119336,101,,1,좌회전 금지,POINT Z (307328.798 4119336.08 60.064)
N233010870,37.2006494,126.8290415,307333,4119339,101,,0,,POINT Z (307332.885 4119338.93 60.045)
N233010880,37.1997663,126.8222489,306728,4119255,101,,1,좌회전 금지,POINT Z (306727.728 4119254.788 59.59)
N233010890,37.1997145,126.822271,306730,4119249,101,,0,,POINT Z (306729.563 4119248.992 59.817)
N233010900,37.1997909,126.822155,306719,4119258,102,,0,,POINT Z (306719.463 4119257.709 60.079)
N233010910,37.1998108,126.8221819,306722,4119260,102,,0,,POINT Z (306721.902 4119259.861 59.862)
N233010920,37.1997476,126.8222208,306725,4119253,101,,1,좌회전 금지,POINT Z (306725.189 4119252.766 59.931)
N233010930,37.2020805,126.8275628,307205,4119501,101,,0,,POINT Z (307205.283 4119500.736 58.623)
N233010940,37.2020441,126.8276016,307209,4119497,101,,0,,POINT Z (307208.635 4119496.619 58.71)
N233010950,37.2019781,126.827408,307191,4119490,102,,0,,POINT Z (307191.284 4119489.688 58.523)
N233010960,37.2020474,126.8275128,307201,4119497,101,,1,좌회전 금지,POINT Z (307200.758 4119497.164 58.683)
N233010970,37.2018633,126.8254111,307014,4119481,101,,0,,POINT Z (307013.746 4119481.018 46.789)
N233010980,37.2017575,126.8255364,307025,4119469,102,,0,,POINT Z (307024.598 4119469.025 46.583)
N233010990,37.2018113,126.8254476,307017,4119475,101,,0,,POINT Z (307016.861 4119475.172 46.758)
N233011000,37.2018306,126.8254773,307020,4119477,101,,0,,POINT Z (307019.543 4119477.257 46.873)
N233011010,37.2015878,126.8279906,307242,4119445,101,,1,좌회전 금지,POINT Z (307242 4119445.195 59.318)
N233011020,37.2018373,126.8253713,307010,4119478,101,,0,,POINT Z (307010.148 4119478.207 46.629)
N233011030,37.200563,126.8288939,307320,4119330,102,,0,,POINT Z (307319.572 4119329.645 59.808)
N233011040,37.2005794,126.8288694,307317,4119332,102,,0,,POINT Z (307317.439 4119331.514 59.916)
N233011050,37.2019478,126.8274382,307194,4119486,102,,0,,POINT Z (307193.889 4119486.266 58.435)
N233011060,37.2019417,126.8253293,307007,4119490,102,,0,,POINT Z (307006.691 4119489.887 46.76)
N233011070,37.2019189,126.8252974,307004,4119487,102,,0,,POINT Z (307003.802 4119487.415 46.76)
N233011080,37.2020137,126.82755,307204,4119493,101,,1,좌회전 금지,POINT Z (307203.977 4119493.349 58.757)
N233011090,37.2050818,126.8206388,306598,4119848,101,,0,,POINT Z (306598.386 4119847.877 44.686)
N233011100,37.2052697,126.8203849,306576,4119869,101,,1,좌회전 금지,POINT Z (306576.339 4119869.244 44.319)
N233011110,37.2052884,126.82041,306579,4119871,101,,0,,POINT Z (306578.608 4119871.259 44.249)
N233011120,37.2052854,126.8240152,306899,4119864,102,,0,,POINT Z (306898.574 4119863.57 45.799)
N233011130,37.2052293,126.8202806,306567,4119865,102,,0,,POINT Z (306566.977 4119864.971 44.507)
N233011140,37.2053167,126.8241397,306910,4119867,101,,0,,POINT Z (306909.707 4119866.788 46.309)
N233011150,37.2037648,126.8257366,307047,4119691,101,,0,,POINT Z (307047.483 4119691.346 51.837)
