StationID,FacilityID,Block,Remark,geometry
S233000630,FAC2330500556,1.0,,POINT Z (305070.7224956024 4123828.0029679504 32.994)
S233001130,,,,POINT Z (304648.7398968066 4125280.6221458134 30.928)
S233001140,FAC2330500550,1.0,,POINT Z (304694.7191385766 4125279.300153641 30.928)
S233001210,FAC2330400453,1.0,,POINT Z (307076.0739527521 4118936.0709886667 64.8498904950966)
S233001220,,,,POINT Z (307154.64703232894 4118997.9236428672 59.36782037284228)
S233001230,FAC2330500948,1.0,,POINT Z (307226.09049739543 4119054.1576033 55.017516954190114)
S233001240,FAC2330501699,1.0,,POINT Z (306841.307599634 4118969.907074624 69.38065288042901)
S233001250,,,,POINT Z (306783.4734719539 4119028.399267226 61.639102358363544)
S233001260,,,,POINT Z (306820.52679272427 4119121.2607218055 56.64807235120059)
S233001270,,,,POINT Z (307212.6301196635 4119050.9946755436 55.63187353192963)
S233001280,,,,POINT Z (307151.3048174634 4119002.630146982 59.35628051216516)
S233001290,,,,POINT Z (307055.4992241787 4118927.267800607 66.43573321585058)
S233001300,,,,POINT Z (306772.99520550185 4119011.010696427 62.971581786823855)
S233001310,FAC2330400011,1.0,,POINT Z (307384.2951066276 4118945.62190022 57.27911695419016)
S233001320,FAC2330400012,1.0,,POINT Z (307267.6929573679 4119083.0270546395 54.31291695419009)
S233001330,FAC2330400012,1.0,,POINT Z (307235.3848274122 4119123.9987183823 53.42396991992418)
S233001340,,,,POINT Z (307320.2226641998 4119355.150245096 59.97292549596575)
S233001350,,,,POINT Z (307308.1171449733 4119370.536962355 59.89214089708539)
S233001360,,,,POINT Z (307221.36390834436 4119480.761601209 59.030419798283276)
S233001370,,,,POINT Z (307186.9211515981 4119523.6318059447 57.943316954190095)
S233001380,,,,POINT Z (307097.1741018535 4119637.5217014304 53.888742000122036)
S233001390,,,,POINT Z (307035.33933086885 4119716.108766965 50.95249045231772)
S233001400,,,,POINT Z (306973.5229816536 4119794.7122249436 47.59380884667457)
S233001410,,,,POINT Z (306974.49832775805 4119784.110212061 47.89146223249066)
S233001420,,,,POINT Z (307036.30332050467 4119705.4982414525 51.23940111712151)
S233001430,,,,POINT Z (307098.1782852752 4119626.9440159644 54.15230041079632)
S233001440,,,,POINT Z (307187.9841674943 4119512.8077928573 58.167916954190105)
S233001450,,,,POINT Z (307222.32679098536 4119470.158416816 59.10893042615369)
S233001460,FAC2330500515,0.0,,POINT Z (307302.7311782731 4119367.957789347 59.90289140893554)
S233001470,FAC2330500515,0.0,,POINT Z (307316.6497885642 4119350.2857192196 60.0177326327384)
S233001480,,,,POINT Z (307219.205343776 4119123.265556425 53.20251695419029)
S233001490,FAC2330500948,1.0,,POINT Z (307287.9915652953 4119036.2737900494 54.86579183090401)
S233001500,FAC2330500041,0.0,,POINT Z (306693.0848364668 4119726.9082075334 44.97401695419012)
S233001510,,,,POINT Z (306640.7425363308 4119799.288752588 46.43194162882549)
S233001520,FAC2330500041,1.0,,POINT Z (306734.48727536586 4119821.0830073357 41.692104295750326)
S233001530,,,,POINT Z (306704.8160942419 4119871.8618803658 41.71211695419015)
S233001540,,,,POINT Z (306674.14680473565 4119625.3684998876 47.02058528880011)
S233001550,,,,POINT Z (306632.859955023 4119803.9272985784 46.09996971985155)
S233001560,,,,POINT Z (306691.9261940058 4119723.587095394 44.84397307133038)
S233001570,FAC2330501706,1.0,,POINT Z (306552.61810795334 4119905.85984289 43.4324169541901)
S233001580,FAC2330501706,1.0,,POINT Z (306530.63584232086 4119937.838229123 42.703316954190086)
S233001590,,,,POINT Z (306708.0517660071 4119862.9697247064 41.70996359273951)
S233001600,,,,POINT Z (306644.6822996036 4119947.263428937 41.06716512278827)
S233001610,,,,POINT Z (306606.393045169 4120002.2918693456 40.24103157366086)
S233001620,,,,POINT Z (306707.3676140871 4119977.197893856 39.28065110459533)
S233001630,,,,POINT Z (306660.0596678669 4120065.3382277163 37.68022608254598)
S233001640,FAC2330501507,1.0,,POINT Z (306575.175587227 4120033.318953993 39.976334829464044)
S233001650,,,,POINT Z (306471.429078643 4119890.5395294097 46.12091300032343)
S233001660,,,,POINT Z (306617.61628913094 4119637.3664562013 49.63279149568485)
S233001670,,,,POINT Z (306956.0283266029 4119178.526782349 56.45900606108326)
S233001680,,,,POINT Z (307081.2239209422 4119023.227908505 59.8454488463244)
S233001690,FAC2330400453,0.0,,POINT Z (307229.85291717714 4118904.309466685 60.999804881813624)
S233001700,,,,POINT Z (306531.6081440403 4119931.1957919984 42.77851695419008)
S233001710,,,,POINT Z (306548.5750799995 4119906.544840001 43.351716954190124)
S233001720,FAC2330501706,0.0,,POINT Z (306611.0751334268 4119990.2992703444 40.4075698687908)
S233001730,FAC2330501706,0.0,,POINT Z (306646.91295637115 4119939.4430559394 41.18601695419011)
S233001740,,,,POINT Z (307238.9106649974 4118914.015833884 60.47178701437219)
S233001750,FAC2330200017,0.0,,POINT Z (307088.63030510995 4119024.0774312583 59.89115960755508)
S233001760,,,,POINT Z (306623.91802882333 4119637.689956906 49.58844489141512)
S233001770,,,,POINT Z (306476.0355707633 4119889.16443236 46.25109470975972)
S233001780,,,,POINT Z (306708.0819381334 4119969.573405997 39.402794247468265)
S233001790,,,,POINT Z (306709.5752056291 4119663.0545240073 43.89494766212068)
S233001800,,,,POINT Z (306584.54026150046 4119827.9225676097 45.95400591094058)
S233001810,FAC2330500675,1.0,,POINT Z (306631.1644372322 4119182.36891321 71.51739316806781)
S233001820,,,,POINT Z (306660.72045599564 4120057.6478879633 37.73762909650621)
S233001830,FAC2330501000,1.0,,POINT Z (306845.9698804077 4119341.4613195504 50.66188472681077)
S233001840,FAC2330100711,0.0,,POINT Z (307048.1595124671 4119499.7476092 48.55301695419007)
S233001850,,,,POINT Z (307107.3739249483 4119546.1875874335 53.1971664189706)
S233001860,,,,POINT Z (307108.0333428177 4119555.0432720548 53.53821695419015)
S233001870,,,,POINT Z (307045.60974673997 4119505.978329269 48.64487833246063)
S233001880,FAC2330500647,1.0,,POINT Z (306888.213164838 4119382.8199521382 48.87539408697386)
S233001890,FAC2330501703,1.0,,POINT Z (306982.6244456479 4119001.6903303214 64.02337362539075)
S233001900,FAC2330501699,1.0,,POINT Z (306962.8218478756 4119000.940426264 65.0877573706177)
S233001910,FAC2330501699,1.0,,POINT Z (306906.1169999996 4118964.7479999997 69.04801695419019)
S233001920,,,,POINT Z (306650.26299934095 4119380.979507256 -1.7976931348623157e+308)
S233001930,,,,POINT Z (306652.0059233193 4119378.7085176976 51.152)
S233001940,FAC2330500173,1.0,,POINT Z (306598.7343959593 4119170.3830237193 74.95267062385786)
S233001950,FAC2330100724,1.0,,POINT Z (307487.9756753935 4119451.0418830756 72.23417941731215)
S233001960,FAC2330500173,1.0,,POINT Z (306652.6302596169 4119197.6415731683 68.91300760555104)
S233001970,,,,POINT Z (307364.2041676127 4119608.1395779504 70.05061515456755)
S233001980,FAC2330400794,1.0,,POINT Z (307241.64180336514 4119766.1487826915 69.67011741756322)
S233001990,FAC2330400794,0.0,,POINT Z (307181.44936625625 4119845.8854301567 68.18291478018969)
S233002000,,,,POINT Z (307180.9717636141 4119942.243870149 64.68884078580093)
S233002010,,,,POINT Z (307252.06378531654 4120011.167871031 63.84258245904044)
S233002020,FAC2330200041,0.0,,POINT Z (307266.8348662405 4120030.125494329 64.10357567761855)
S233002030,,,,POINT Z (307180.73793292843 4119953.6959024216 64.35791695419016)
