dispatchID,messageTime,passengerID,requestID,routeIDs,pickupStationName,dropoffStationName,reserveType,onboardingTime,dropoffTime,linkIDs,pickupStationID,dropoffStationID,tripID,operationID,vehicleID
D000d79f36,1747351330059,759,req-3685,[2025051700002],No Station Name,No Station Name,1,202505171930,202505171934,"[""L413004750"", ""L413000700"", ""L413000690"", ""L413002450"", ""L413002440"", ""L413004760"", ""L413003880"", ""L413004740"", ""L413000860"", ""L413005060"", ""L413000890"", ""L413005070"", ""L413000910"", ""L413000940"", ""L413005100"", ""L413000950"", ""L413000960"", ""L413000600"", ""L413005120"", ""L413000980"", ""L413000470"", ""L413002230"", ""L413000460""]",S413000620,S413001160,Tbd9ab046d,202505170001,TW_000000001
D0048547b1,1752121748996,12,req-6558,[2025071000023],No Station Name,No Station Name,2,202507101340,202507101351,"[""L186002160"", ""L186003540"", ""L186000200"", ""L186002490"", ""L186002470"", ""L186002290"", ""L186000770"", ""L186000780"", ""L186002810"", ""L186002800"", ""L186002740"", ""L186001030"", ""L186002330"", ""L186001040"", ""L186000740"", ""L186002180"", ""L186002200"", ""L186002190"", ""L186000210"", ""L186000960"", ""L186002350"", ""L186001460"", ""L186001440"", ""L186002370"", ""L186001820"", ""L186001810"", ""L186001540"", ""L186001430"", ""L186001850"", ""L186002390"", ""L186002770"", ""L186001840"", ""L186001830"", ""L186001860"", ""L186001870"", ""L186002420"", ""L186001510"", ""L186001570"", ""L186001580"", ""L186001930"", ""L186002430"", ""L186001340"", ""L186001370"", ""L186001950"", ""L186002560"", ""L186002570"", ""L186001960""]",S186000930,S186000650,T319490176,202507100003,TW_000000011
D004adf6ff,1745464570223,98,req-0688,[2025042400129],No Station Name,No Station Name,2,202504241222,202504241229,"[""L186001120"", ""L186001110"", ""L186002570"", ""L186001960"", ""L186002440"", ""L186002730"", ""L186001230"", ""L186001170"", ""L186001100"", ""L186001900"", ""L186001890"", ""L186001880"", ""L186002410"", ""L186002400"", ""L186001140"", ""L186000970"", ""L186001800"", ""L186002380"", ""L186002220"", ""L186001790"", ""L186001780"", ""L186001770"", ""L186001760"", ""L186001750"", ""L186001740"", ""L186002360"", ""L186000010"", ""L186000560"", ""L186000210"", ""L186000960"", ""L186002350"", ""L186001460"", ""L186001440"", ""L186002370"", ""L186001820"", ""L186001810"", ""L186001540"", ""L186001430"", ""L186001850""]",S186001330,S186000310,T60689053e,202504240021,TW_000000010
D007731874,1751250183741,469,req-6204,[2025070100017],정부세종청사 중앙동,No Station Name,1,202507011530,202507011535,"[""L413001210"", ""L413004970"", ""L413001190"", ""L413005000"", ""L413004990"", ""L413002440"", ""L413004760"", ""L413003880"", ""L413004740"", ""L413002430"", ""L413002420"", ""L413002410"", ""L413002400"", ""L413002980""]",S413001070,S413001240,T6265b0984,202507010002,TW_000000003
D0083b9274,1749014109576,172,req-3340,[2025060500032],No Station Name,No Station Name,1,202506051800,202506051806,"[""L413003190"", ""L413003000"", ""L413003010"", ""L413003390"", ""L413003150"", ""L413003180"", ""L413001860"", ""L413003970"", ""L413003980"", ""L413001840"", ""L413001850"", ""L413001880"", ""L413003990"", ""L413001900"", ""L413001930"", ""L413004000"", ""L413004050"", ""L413004070"", ""L413004030"", ""L413004090"", ""L413001040"", ""L413004100"", ""L413001060"", ""L413000440"", ""L413000990"", ""L413000460"", ""L413002240"", ""L413002250"", ""L413004810"", ""L413004830"", ""L413004790"", ""L413002260"", ""L413002280"", ""L413002300"", ""L413002310"", ""L413002320"", ""L413002350"", ""L413004780""]",S413001220,S413001060,Tc3808689d,202506050005,TW_000000003
D00c1e31f1,1753225390024,223,req-8256,[2025072300044],No Station Name,No Station Name,2,202507230807,202507230820,"[""L186001340"", ""L186001370"", ""L186001950"", ""L186002560"", ""L186002570"", ""L186001960"", ""L186002440"", ""L186002730"", ""L186001230"", ""L186001170"", ""L186001100"", ""L186001900"", ""L186001890"", ""L186001880"", ""L186002410"", ""L186002400"", ""L186001140"", ""L186000970"", ""L186001800"", ""L186002380"", ""L186002220"", ""L186001790"", ""L186001780"", ""L186001770"", ""L186001760"", ""L186001750"", ""L186001740"", ""L186002360"", ""L186000010"", ""L186000020"", ""L186001730"", ""L186001720"", ""L186002210"", ""L186000030"", ""L186000040"", ""L186002340"", ""L186002690"", ""L186002680"", ""L186002320"", ""L186002790"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186000370"", ""L186000380"", ""L186000390"", ""L186003530"", ""L186000140"", ""L186002610""]",S186000340,S186000050,T0ded8474c,202507230007,TW_000000011
D00c904ba4,1752108486007,972,req-6516,[2025071100011],No Station Name,No Station Name,1,202507111930,202507111940,"[""L186002900"", ""L186003550"", ""L186003200"", ""L186003230"", ""L186003220"", ""L186000380"", ""L186000390"", ""L186000980"", ""L186002160"", ""L186003540"", ""L186000200"", ""L186002490"", ""L186002470"", ""L186002290"", ""L186000770"", ""L186000780"", ""L186002810"", ""L186002800"", ""L186002740"", ""L186001030"", ""L186002330""]",S186001440,S186000110,T40c3c1db7,202507110001,TW_000000011
D00cb3a356,1752739929393,155,req-7551,[2025071700056],No Station Name,No Station Name,2,202507171722,202507171731,"[""L186002200"", ""L186002190"", ""L186000210"", ""L186000510"", ""L186000010"", ""L186000020"", ""L186001730"", ""L186001720"", ""L186002210"", ""L186000030"", ""L186000040"", ""L186002340"", ""L186002690"", ""L186002680"", ""L186002320"", ""L186002790"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186000370"", ""L186000380"", ""L186000390"", ""L186000980"", ""L186002160""]",S186001230,S186000190,T528be5669,202507170008,TW_000000011
D01467f1f7,1745110159651,397,req-0111,[2025042000014],No Station Name,No Station Name,2,202504201000,202504201011,"[""L186000470"", ""L186002170"", ""L186000130"", ""L186000140"", ""L186002610"", ""L186000290"", ""L186002620"", ""L186000890"", ""L186000940"", ""L186000850"", ""L186000860"", ""L186000260"", ""L186002240"", ""L186002250"", ""L186000270"", ""L186000630"", ""L186000640"", ""L186003230"", ""L186003210"", ""L186003150"", ""L186003560"", ""L186003180"", ""L186003170""]",S186001210,S186001440,Tdd76230ca,202504200001,TW_000000008
D015c26c21,1750214227534,928,req-4560,[2025061900026],No Station Name,No Station Name,1,202506191800,202506191806,"[""L186001850"", ""L186002390"", ""L186002770"", ""L186001840"", ""L186001830"", ""L186001860"", ""L186001870"", ""L186002420"", ""L186001510"", ""L186001570"", ""L186001580"", ""L186001930"", ""L186002430"", ""L186001340"", ""L186001370"", ""L186001950"", ""L186001970"", ""L186001600"", ""L186001590"", ""L186002000"", ""L186002580"", ""L186002020"", ""L186001620"", ""L186001450"", ""L186002450"", ""L186002030"", ""L186001420"", ""L186002510"", ""L186002520"", ""L186002040"", ""L186001470""]",S186000460,S186001370,T70f3ce3e2,202506190003,TW_000000008
