operationID,vehicleID,StationIDs,routeIDs,startTime,endTime,VehicleType,operationServiceType
202504200001,TW_000000001,"[""S413000840"", ""S413000240"", ""S413000120"", ""S413000830""]","[2025042000037, 2025042000038, 2025042000039]",202504201353,202504201408,carnivalReg,POOL
202504200001,TW_000000002,"[""S413000840"", ""S413000670"", ""S413001010"", ""S413000830""]","[2025042000052, 2025042000053, 2025042000054]",202504201512,202504201527,carnivalReg,POOL
202504200001,TW_000000003,"[""S413000840"", ""S413000730"", ""S413000820"", ""S413000830""]","[2025042000040, 2025042000041, 2025042000042]",202504201405,202504201414,carnivalReg,POOL
202504200001,TW_000000005,"[""S413000840"", ""S413000590"", ""S413000760"", ""S413000830""]","[2025042000001, 2025042000002, 2025042000003]",202504200833,202504200853,carnivalWheel,P2P
202504200001,TW_000000007,"[""S186000320"", ""S186000710"", ""S186001400"", ""S186001090""]","[2025042000004, 2025042000005, 2025042000006]",202504200838,202504200859,IONIQ5,POOL
202504200001,TW_000000008,"[""S186000320"", ""S186001210"", ""S186001440"", ""S186001090""]","[2025042000013, 2025042000014, 2025042000015]",202504200952,202504201020,IONIQ5,POOL
202504200001,TW_000000009,"[""S186000320"", ""S186001210"", ""S186001440"", ""S186001090""]","[2025042000010, 2025042000011, 2025042000012]",202504200947,202504201015,IONIQ5,POOL
202504200001,TW_000000010,"[""S186000320"", ""S186001210"", ""S186001440"", ""S186001090""]","[2025042000007, 2025042000008, 2025042000009]",202504200942,202504201010,IONIQ5,POOL
202504200001,TW_000000011,"[""S186000320"", ""S186001080"", ""S186000100"", ""S186001090""]","[2025042000016, 2025042000017, 2025042000018]",202504201009,202504201035,IONIQ5,POOL
202504200002,TW_000000003,"[""S413000840"", ""S413000430"", ""S413000300"", ""S413000830""]","[2025042000061, 2025042000062, 2025042000063]",202504201623,202504201640,carnivalReg,POOL
202504200002,TW_000000010,"[""S186000320"", ""S186000640"", ""S186001370"", ""S186000050"", ""S186000890"", ""S186001090""]","[2025042000019, 2025042000020, 2025042000022, 2025042000023, 2025042000024]",202504201057,202504201134,IONIQ5,POOL
202504200003,TW_000000003,"[""S413000840"", ""S413000340"", ""S413001590"", ""S413000830""]","[2025042000070, 2025042000071, 2025042000072]",202504201826,202504201846,carnivalReg,POOL
202504200003,TW_000000010,"[""S186000320"", ""S186000600"", ""S186000880"", ""S186001090""]","[2025042000025, 2025042000026, 2025042000027]",202504201129,202504201156,IONIQ5,POOL
202504200004,TW_000000003,"[""S413000840"", ""S413000100"", ""S413000240"", ""S413000830""]","[2025042000076, 2025042000077, 2025042000078]",202504201927,202504201942,carnivalReg,POOL
202504200004,TW_000000010,"[""S186000320"", ""S186000220"", ""S186001050"", ""S186001090""]","[2025042000028, 2025042000029, 2025042000030]",202504201134,202504201151,IONIQ5,POOL
202504200005,TW_000000003,"[""S413000840"", ""S413001130"", ""S413001030"", ""S413000830""]","[2025042000082, 2025042000083, 2025042000084]",202504202016,202504202030,carnivalReg,POOL
202504200005,TW_000000010,"[""S186000320"", ""S186000220"", ""S186001050"", ""S186001090""]","[2025042000031, 2025042000032, 2025042000033]",202504201139,202504201156,IONIQ5,POOL
202504200006,TW_000000010,"[""S186000320"", ""S186000860"", ""S186000730"", ""S186001090""]","[2025042000034, 2025042000035, 2025042000036]",202504201244,202504201307,IONIQ5,POOL
202504200007,TW_000000010,"[""S186000320"", ""S186000210"", ""S186000870"", ""S186001090""]","[2025042000043, 2025042000044, 2025042000045]",202504201431,202504201454,IONIQ5,POOL
202504200008,TW_000000010,"[""S186000320"", ""S186001050"", ""S186000870"", ""S186001090""]","[2025042000046, 2025042000047, 2025042000048]",202504201440,202504201459,IONIQ5,POOL
202504200009,TW_000000010,"[""S186000320"", ""S186000900"", ""S186000170"", ""S186001090""]","[2025042000049, 2025042000050, 2025042000051]",202504201445,202504201505,IONIQ5,POOL
202504200010,TW_000000010,"[""S186000320"", ""S186000460"", ""S186000290"", ""S186001090""]","[2025042000055, 2025042000056, 2025042000057]",202504201555,202504201610,IONIQ5,POOL
202504200011,TW_000000010,"[""S186000320"", ""S186001080"", ""S186000460"", ""S186001090""]","[2025042000058, 2025042000059, 2025042000060]",202504201604,202504201635,IONIQ5,POOL
202504200012,TW_000000010,"[""S186000320"", ""S186001210"", ""S186000030"", ""S186001090""]","[2025042000064, 2025042000065, 2025042000066]",202504201653,202504201715,IONIQ5,POOL
202504200013,TW_000000010,"[""S186000320"", ""S186000760"", ""S186001310"", ""S186001090""]","[2025042000067, 2025042000068, 2025042000069]",202504201819,202504201838,IONIQ5,POOL
202504200014,TW_000000010,"[""S186000320"", ""S186000140"", ""S186000220"", ""S186001090""]","[2025042000073, 2025042000074, 2025042000075]",202504201842,202504201859,IONIQ5,POOL
202504200015,TW_000000010,"[""S186000320"", ""S186000090"", ""S186000290"", ""S186001090""]","[2025042000079, 2025042000080, 2025042000081]",202504201948,202504202007,IONIQ5,POOL
202504200016,TW_000000010,"[""S186000320"", ""S186001370"", ""S186000660"", ""S186001090""]","[2025042000085, 2025042000086, 2025042000087]",202504202102,202504202129,IONIQ5,POOL
202504210001,TW_000000001,"[""S413000840"", ""S413000260"", ""S413000860"", ""S413001600"", ""S413001130"", ""S413000830""]","[2025042100161, 2025042100162, 2025042100163, 2025042100002, 2025042100003]",202504211326,202504211350,carnivalReg,POOL
202504210001,TW_000000002,"[""S413000840"", ""S413000340"", ""S413000710"", ""S413001610"", ""S413000040"", ""S413000830""]","[2025042100028, 2025042100029, 2025042100030, 2025042100023, 2025042100024]",202504211626,202504211646,carnivalReg,POOL
202504210001,TW_000000003,"[""S413000840"", ""S413000140"", ""S413000910"", ""S413000830""]","[2025042100025, 2025042100026, 2025042100027]",202504211055,202504211112,carnivalReg,POOL
202504210001,TW_000000005,"[""S413000840"", ""S413000720"", ""S413000490"", ""S413000750"", ""S413001240"", ""S413001080"", ""S413000570"", ""S413000100"", ""S413000970"", ""S413000830""]","[2025042100007, 2025042100008, 2025042100034, 2025042100035, 2025042100070, 2025042100071, 2025042100119, 2025042100120, 2025042100121]",202504212057,202504212207,carnivalWheel,P2P
202504210001,TW_000000007,"[""S186000320"", ""S186000170"", ""S186000860"", ""S186001090""]","[2025042100004, 2025042100005, 2025042100006]",202504211850,202504211918,IONIQ5,POOL
202504210001,TW_000000010,"[""S186000320"", ""S186000460"", ""S186001450"", ""S186001140"", ""S186000070"", ""S186001090""]","[2025042100010, 2025042100011, 2025042100037, 2025042100038, 2025042100039]",202504211255,202504211328,IONIQ5,POOL
202504210002,TW_000000002,"[""S413000840"", ""S413001070"", ""S413000100"", ""S413000860"", ""S413001160"", ""S413000870"", ""S413000250"", ""S413000830""]","[2025042100164, 2025042100165, 2025042100167, 2025042100168, 2025042100170, 2025042100171, 2025042100172]",202504211349,202504211428,carnivalReg,POOL
202504210002,TW_000000003,"[""S413000840"", ""S413001140"", ""S413000960"", ""S413000830""]","[2025042100043, 2025042100044, 2025042100045]",202504211224,202504211240,carnivalReg,POOL
202504210002,TW_000000010,"[""S186000320"", ""S186000210"", ""S186000810"", ""S186001090""]","[2025042100013, 2025042100014, 2025042100015]",202504211854,202504211918,IONIQ5,POOL
202504210003,TW_000000003,"[""S413000840"", ""S413001140"", ""S413000120"", ""S413000380"", ""S413000110"", ""S413000830""]","[2025042100046, 2025042100047, 2025042100155, 2025042100156, 2025042100157]",202504211254,202504211320,carnivalReg,POOL
202504210003,TW_000000010,"[""S186000320"", ""S186001470"", ""S186001130"", ""S186001090""]","[2025042100016, 2025042100017, 2025042100018]",202504211051,202504211116,IONIQ5,POOL
202504210004,TW_000000003,"[""S413000840"", ""S413000850"", ""S413000070"", ""S413000830""]","[2025042100055, 2025042100056, 2025042100057]",202504211800,202504211814,carnivalReg,POOL
