requestID,passengerID,messageTime,pickupStationID,dropoffStationID,serviceType,reserveType,dispatchID,responseStatus,confirmCheck,passengerCount,wheelchairCount,failInfoList,pickupTimeRequest
req-0100,958,1745105404571,S413000590,S413000760,1,2,D69dbc50f6,1.0,1.0,1,1,,
req-0101,42,1745105716065,S186000710,S186001400,2,2,D8229e73ba,1.0,1.0,6,0,,
req-0102,736,1745138580000,S413001600,S413001130,1,1,Ded272d9f1,1.0,1.0,3,0,,202504211330.0
req-0103,808,1745139600000,S186000170,S186000860,2,1,Da759a4971,1.0,1.0,3,0,,202504211900.0
req-0104,889,1745139720000,S413000720,S413000490,1,1,Dbe5fd2f05,1.0,1.0,1,1,,202504212100.0
req-0105,791,1745107831754,S413001640,S413000040,1,2,,,,2,1,[],
req-0107,249,1745140620000,S186000460,S186001450,2,1,Dfde841481,1.0,1.0,1,0,,202504211300.0
req-0109,882,1745140980000,S413000350,S413000230,1,1,,,,2,1,[202],202504211130.0
req-0110,356,1745141640000,S186000210,S186000810,2,1,D26ca242b3,1.0,1.0,4,0,,202504211900.0
req-0111,397,1745110159206,S186001210,S186001440,2,2,D01467f1f7,1.0,1.0,5,0,,
req-0114,110,1745142720000,S186001470,S186001130,2,1,Db46f4c1b2,1.0,1.0,2,0,,202504211100.0
req-0116,418,1745111164001,S186001080,S186000100,2,2,D71a143046,1.0,1.0,6,0,,
req-0117,885,1745111475424,S186000040,S186001090,2,2,,,,2,0,"[202, 101, 101, 101, 201, 301, 302]",
req-0118,614,1745144100000,S413001610,S413000040,1,1,Dfa1cd24ea,1.0,1.0,1,0,,202504211630.0
req-0120,327,1745144460000,S413000140,S413000910,1,1,D3fb356a07,1.0,1.0,6,0,,202504211100.0
req-0123,309,1745145360000,S413000340,S413000710,1,1,D76d3e925a,1.0,1.0,6,0,,202504211630.0
req-0124,231,1745145420000,S186001260,S186000900,2,1,Dc989f3ddf,1.0,1.0,2,0,,202504211530.0
req-0125,896,1745113592360,S413000250,S413000530,1,2,,,,2,1,[],
req-0127,318,1745114043247,S186000640,S186001370,2,2,Dca11baca5,1.0,1.0,3,0,,
req-0128,94,1745115245098,S186000050,S186000890,2,2,D465658eb4,1.0,1.0,1,0,,
req-0129,339,1745148060000,S413000750,S413001240,1,1,D94e2e1758,1.0,1.0,2,1,,202504212130.0
req-0130,204,1745115978531,S186000600,S186000880,2,2,Dfa6b262be,1.0,1.0,3,0,,
