LinkID,FNode,Enode,Lanes,LinkType,RoadRank,RoadType,RoadNo,RoadName,RoadUse,MultiLink,Connect,MaxSpeed,Rvehicle,RestWeight,RestHeight,Length,MedianType,PaveType,SafetyZone,Intersect,SpeedBump,Curvature,Crosswalk,RWayCross,Shoulder,PocketLane,Averheight,SigLight,SlopePer,SlopeDeg,Remark,geometry
L413000180,N413000480,N413000490,1,1,6,일반도로,,,1,0,0,0,모두통행가능,0.0,0.0,5.934,,1,0,1,0,0.0,0,0,0,0,1,006,1.026,0.588,,"LINESTRING Z (344954.65905779065 4040941.487787474 61.004, 344949.30222019524 4040944.039865691 61.0649099999966)"
L413003710,N413000490,N413000500,2,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,4.5,5.324,,1,0,1,0,641253.663,0,0,0,0,0,006,-2.432,-1.393,,"LINESTRING Z (344949.30222019524 4040944.039865691 61.0649099999966, 344948.3759068743 4040941.8827532367 61.00017999999691, 344947.26598832384 4040939.1218605284 60.93544999999722)"
L413003720,N413000470,N413000480,2,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,4.5,5.16,,1,0,1,0,4053027.929,0,0,0,0,0,006,1.896,1.086,,"LINESTRING Z (344952.7122990712 4040936.709924203 60.90620909090979, 344953.93734629446 4040939.7179415245 60.95512727272845, 344954.65905779065 4040941.487787474 61.004045454547104)"
L413003460,N413000430,N413000440,1,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,6.699,,1,0,1,0,2948375.041,0,0,0,0,0,001,-0.186,-0.107,,"LINESTRING Z (344991.87045443914 4041049.520498722 62.79987333332732, 344990.72336116864 4041046.7133784043 62.793626666660806, 344989.33621208835 4041043.3200148987 62.7873799999943)"
L413000010,N413001250,N413000560,2,4,6,일반도로,,도움4로,1,0,0,40,모두통행가능,0.0,0.0,243.517,,1,0,0,0,535478.007,2,0,0,0,0,,0.278,0.159,,"LINESTRING Z (344669.79889003246 4040901.7536821254 57.868098, 344670.2405799988 4040901.5759699997 57.868098, 344672.3199830003 4040900.73933 57.868955, 344674.3993850009 4040899.9026899994 57.869812, 344676.4787879997 4040899.066051 57.870669, 344678.55819100095 4040898.2294109995 57.871526, 344680.6375929991 4040897.392771001 57.872383, 344682.71699600003 4040896.5561319995 57.87324, 344684.6935639995 4040895.760866999 57.874055, 344688.62339800026 4040894.1953529976 57.880684, 344689.7445830001 4040893.7455339995 57.88008, 344691.14800099947 4040893.182206 57.886772, 344693.9149300002 4040892.0617709993 57.903471, 344694.2263270004 4040891.934885995 57.905163, 344696.51658800006 4040891.002447999 57.920993, 344698.5629569993 4040890.1801349996 57.947502, 344699.9891889999 4040889.600067999 57.961365, 344702.23128800065 4040888.687887999 57.977051, 344704.35109200014 4040887.8315940015 57.987722, 344705.81092400034 4040887.251642999 57.995895, 344707.403174999 4040886.615414999 58.002429, 344709.6946440005 4040885.6948030004 58.012502, 344712.4706290007 4040884.579617 58.021473, 344713.81699800026 4040884.035268 58.026169, 344715.1260010006 4040883.5049599973 58.033388, 344717.55365300004 4040882.5325579992 58.045214, 344720.32951800106 4040881.4180759992 58.052946, 344721.4169080005 4040880.980859999 58.055373, 344722.7547029994 4040880.440838 58.059249, 344725.1037849994 4040879.4951839987 58.065242, 344727.4261549992 4040878.55294 58.076671, 344728.8152320001 4040877.986751 58.079573, 344731.1144590004 4040877.0680690003 58.085571, 344733.8870969999 4040875.9466910004 58.096335, 344735.8849180008 4040875.13607 58.105976, 344737.33455399907 4040874.548804999 58.11345, 344739.66568399896 4040873.611001999 58.126658, 344742.4458209992 4040872.4869909994 58.140653, 344743.707976999 4040871.978823 58.146938, 344745.1078369997 4040871.42035 58.153853, 344747.41357600054 4040870.501236999 58.165528, 344749.6040140001 4040869.6214389987 58.175409, 344751.0612030005 4040869.0357909994 58.180762, 344753.8450309991 4040867.912103997 58.192213, 344754.71259000094 4040867.5624229987 58.195721, 344756.9889130008 4040866.6489409995 58.203041, 344758.37617100007 4040866.0910299974 58.206924, 344760.6856879998 4040865.1570999995 58.217767, 344763.4640190005 4040864.032060997 58.22789, 344764.8842740011 4040863.4586870004 58.232585, 344766.255528001 4040862.9121559984 58.237889, 344768.404570001 4040862.042015998 58.244211, 344770.7597259991 4040861.091357999 58.250664, 344772.1435030004 4040860.5335539994 58.252683, 344774.8205000011 4040859.453222999 58.267508, 344777.18858900014 4040858.497263001 58.280766, 344779.9710389991 4040857.377215 58.29331, 344780.03698799986 4040857.3506259997 58.29364, 344781.3911469989 4040856.8050879994 58.301524, 344783.67142700107 4040855.8897360004 58.31015, 344786.45608399995 4040854.7719609984 58.311343, 344787.4054560001 4040854.3909629993 58.31158, 344788.8109979991 4040853.828390999 58.31187, 344791.09235400055 4040852.909723 58.317804, 344793.8718589997 4040851.78792 58.332052, 344794.1993569997 4040851.6556969974 58.332835, 344795.68107700115 4040851.057699001 58.332994, 344797.987412001 4040850.135189 58.339381, 344800.75643199927 4040849.014286 58.351294, 344803.5467679989 4040847.8851809995 58.364416, 344803.6079140011 4040847.8605209994 58.364687, 344804.9373270007 4040847.323542999 58.372208, 344807.3439729995 4040846.3627470005 58.38149, 344810.11474500026 4040845.2460720004 58.389602, 344811.4949649999 4040844.683294999 58.394906, 344813.84868599905 4040843.739584999 58.404171, 344816.2943989992 4040842.7534100004 58.413063, 344817.7004269989 4040842.186313999 58.418214, 344820.48127800104 4040841.0722470004 58.436876, 344821.5829499992 4040840.629436998 58.444743, 344823.87971700076 4040839.703486 58.457522, 344825.30257000105 4040839.128599001 58.46237, 344828.083012001 4040838.001316 58.477392, 344828.6132699988 4040837.786335998 58.480286, 344830.91148499947 4040836.8714989997 58.493751, 344832.31006300007 4040836.3055610005 58.498968, 344835.0938060002 4040835.190792996 58.50895, 344836.23376799934 4040834.72921 58.514103, 344838.54907300044 4040833.7918710005 58.5253, 344840.0545979992 4040833.184634998 58.531424, 344842.83971899934 4040832.057602 58.542215, 344843.05358699965 4040831.9713139967 58.543023, 344845.21970500017 4040831.1008989974 58.552338, 344846.85071999964 4040830.4415749987 58.557903, 344849.6361160002 4040829.323546 58.563707, 344851.2256670003 4040828.687191 58.569162, 344853.2388040005 4040827.880338 58.579584, 344855.2916149999 4040827.060743999 58.593522, 344858.06653100025 4040825.9396359995 58.615589, 344858.6222619995 4040825.714382 58.620362, 344860.6866439989 4040824.8793169996 58.63574, 344861.9537310002 4040824.3652989976 58.636785, 344863.7354830011 4040823.6427009995 58.637354, 344865.9175770009 4040822.7729589995 58.645838, 344867.79149799945 4040822.020871 58.65434, 344869.3812800008 4040821.3822009997 58.658899, 344871.0498290007 4040820.714481999 58.659109, 344872.0167839988 4040820.326864998 58.657609, 344872.86164600006 4040819.9796279985 58.662154, 344875.51300899964 4040818.9105739994 58.648527, 344878.15511000063 4040817.8453150005 58.634866, 344880.7972120007 4040816.7800569995 58.621206, 344883.43931399926 4040815.7147989995 58.607545, 344886.081415999 4040814.6495399997 58.593885, 344888.7235170007 4040813.584282001 58.580225, 344891.36561899947 4040812.5190240005 58.566564, 344894.0077209993 4040811.453765 58.552904, 344895.66048779135 4040810.7873925385 58.544358983980025)"
L413000020,N413000570,N413000600,1,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,5.258,5,1,0,1,0,257141.196,0,0,0,0,1,,1.621,0.928,봉타입 중앙분리대,"LINESTRING Z (344844.26411588426 4040668.5753181376 58.05878181818248, 344839.8975937206 4040671.5044080615 58.144)"
L413000030,N413001400,N413001370,1,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,6.533,,1,0,3,0,0.0,0,0,0,0,1,,0.167,0.096,,"LINESTRING Z (344278.56296599796 4041059.3082949994 55.854106, 344282.20686097105 4041064.72972003 55.865)"
L413000040,N413001540,N413001510,2,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,7.688,,1,0,2,0,4045331.13,0,0,0,0,1,002,-0.273,-0.157,,"LINESTRING Z (344400.87982416194 4041288.4163909447 56.782, 344397.45703661744 4041281.533776222 56.761)"
L413000050,N413001520,N413001530,2,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,7.465,,1,0,2,0,0.0,0,0,0,0,1,002,0.268,0.153,,"LINESTRING Z (344402.57540314493 4041279.4755613734 56.799, 344405.9055103313 4041286.156056434 56.819)"
L413000060,N413000230,N413000260,1,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,3.646,,1,0,1,0,0.0,0,0,0,0,1,,0.255,0.146,,"LINESTRING Z (345053.0475844076 4041189.266970096 62.060719559095254, 345049.41162374394 4041189.5344955414 62.07)"
L413000070,N413000170,N413000160,1,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,9.31,,1,0,2,0,0.0,0,0,0,0,1,,0.182,0.104,,"LINESTRING Z (344969.63933900115 4041319.1318569994 60.933073, 344973.2706519101 4041327.7033489347 60.95)"
L413000080,N413000970,N413001000,1,4,6,일반도로,,어진중앙7길,1,0,0,30,모두통행가능,0.0,0.0,5.069,,1,0,0,1,246854.459,1,0,0,0,1,,0.0,0.0,,"LINESTRING Z (344475.2832209818 4041102.564629221 57.107, 344470.9130070038 4041105.13241249 57.107)"
L413000090,N413000030,N413000050,2,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,9.591,,1,0,2,0,4053014.83,0,0,0,0,1,002,0.167,0.096,,"LINESTRING Z (344446.79465311475 4041539.6427253075 57.51, 344445.37880152103 4041530.1579487366 57.526)"
L413000100,N413000060,N413000040,1,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,9.583,,1,0,2,0,4052856.278,0,0,0,0,1,002,-0.24,-0.138,,"LINESTRING Z (344449.81674858846 4041528.390515007 57.592, 344451.25788691343 4041537.863575862 57.569)"
