NodeID,NodeLat,NodeLon,NodeX,NodeY,NodeType,NodeName,TurnP,Remark,geometry
N413000010,36.5068899,127.2619924,344359,4041577,101,,0,,POINT Z (344359.0200935838 4041576.9503437513 0)
N413000020,36.5067644,127.2619919,344359,4041563,101,,0,,POINT Z (344358.7239624523 4041563.034625675 0)
N413000030,36.5065679,127.2629796,344447,4041540,101,,0,,POINT Z (344446.79465311475 4041539.6427253075 0)
N413000040,36.5065526,127.2630298,344451,4041538,101,,0,,POINT Z (344451.25788691343 4041537.863575862 0)
N413000050,36.5064823,127.2629657,344445,4041530,101,,0,,POINT Z (344445.37880152103 4041530.1579487366 0)
N413000060,36.506467,127.2630156,344450,4041528,101,,0,,POINT Z (344449.81674858846 4041528.390515007 0)
N413000070,36.5059724,127.2649142,344619,4041470,101,,0,,POINT Z (344618.8608622599 4041470.448185341 0)
N413000080,36.5059545,127.2649722,344624,4041468,101,,0,,POINT Z (344624.0194273965 4041468.3699730053 0)
N413000090,36.5058733,127.2649422,344621,4041459,101,,0,,POINT Z (344621.1725606637 4041459.413526509 0)
N413000100,36.5058913,127.2648842,344616,4041461,101,,0,,POINT Z (344616.01590508834 4041461.498323664 0)
N413000110,36.5051673,127.2675237,344851,4041377,101,,0,,POINT Z (344850.96180411614 4041376.9186144546 0)
N413000120,36.5051374,127.267621,344860,4041373,101,,0,,POINT Z (344859.618090637 4041373.44603349 0)
N413000130,36.5050589,127.2675841,344856,4041365,101,,0,,POINT Z (344856.16098076146 4041364.7954346193 0)
N413000140,36.5050869,127.267486,344847,4041368,101,,0,,POINT Z (344847.428873 4041368.068558999 0)
N413000150,36.5047582,127.2688517,344969,4041329,101,,1,,POINT Z (344969.0888952966 4041329.403518845 0)
N413000160,36.5047436,127.2688987,344973,4041328,101,,1,,POINT Z (344973.2706519101 4041327.7033489347 0)
N413000170,36.5046658,127.2688599,344970,4041319,101,,0,,POINT Z (344969.63933900115 4041319.1318569994 0)
N413000180,36.5046805,127.2688116,344965,4041321,101,,0,,POINT Z (344965.3376425804 4041320.8482455066 0)
N413000190,36.5043549,127.2701605,345086,4041283,101,,1,,POINT Z (345085.5000111806 4041282.5486657787 0)
N413000200,36.5043332,127.2702316,345092,4041280,101,,0,,POINT Z (345091.82244785817 4041280.027989514 0)
N413000210,36.5042555,127.2701935,345088,4041271,101,,1,,POINT Z (345088.2547388187 4041271.4671781496 0)
N413000220,36.5042768,127.2701237,345082,4041274,101,,1,,POINT Z (345082.0486225473 4041273.945359042 0)
N413000230,36.5035091,127.269817,345053,4041189,101,,0,,POINT Z (345053.0475844076 4041189.266970096 0)
N413000240,36.5034855,127.2698058,345052,4041187,101,,0,,POINT Z (345052.0038288603 4041186.674659653 0)
N413000250,36.503487,127.2697637,345048,4041187,101,,1,,POINT Z (345048.22858786583 4041186.9072124395 0)
N413000260,36.5035109,127.2697763,345049,4041190,101,,1,,POINT Z (345049.41162374394 4041189.534495541 0)
N413000270,36.5035121,127.2697491,345047,4041190,102,,0,,POINT Z (345046.9720513959 4041189.714399003 0)
N413000280,36.5034879,127.2697372,345046,4041187,102,,0,,POINT Z (345045.8617329104 4041187.0527428202 0)
N413000290,36.5043134,127.2702968,345098,4041278,102,,0,,POINT Z (345097.62323338474 4041277.7222414236 0)
N413000300,36.5042343,127.2702628,345094,4041269,102,,0,,POINT Z (345094.4241740977 4041269.002723764 0)
N413000310,36.5047997,127.2689266,344976,4041334,103,,0,,POINT Z (344975.87657173455 4041333.881068108 0)
N413000320,36.5048139,127.2688804,344972,4041336,103,,0,,POINT Z (344971.76471531286 4041335.5360851097 0)
N413000330,36.5052153,127.2676576,344863,4041382,102,,0,,POINT Z (344863.0570376669 4041382.0330926185 0)
N413000340,36.5052452,127.2675602,344854,4041386,102,,0,,POINT Z (344854.3924429499 4041385.50974836 0)
N413000350,36.5060604,127.2650113,344628,4041480,102,,0,,POINT Z (344627.7349813472 4041480.0573479324 0)
N413000360,36.5060737,127.2649516,344622,4041482,102,,0,,POINT Z (344622.4158845654 4041481.630451354 0)
N413000370,36.506607,127.2630388,344452,4041544,102,,0,,POINT Z (344452.1727985644 4041543.8778767292 0)
N413000380,36.506624,127.2629887,344448,4041546,102,,0,,POINT Z (344447.7213228105 4041545.8471497744 0)
N413000390,36.5064228,127.2629561,344444,4041524,102,,0,,POINT Z (344444.39604623034 4041523.5764824874 0)
N413000400,36.5064045,127.2630052,344449,4041521,102,,0,,POINT Z (344448.76169187593 4041521.4648374426 0)
N413000410,36.5021644,127.2691981,344995,4041041,101,,0,,POINT Z (344994.93621600047 4041041.0836310005 0)
N413000420,36.5022214,127.2692243,344997,4041047,101,,1,,POINT Z (344997.3981430004 4041047.365952 0)
N413000430,36.5022399,127.2691622,344992,4041050,101,,1,,POINT Z (344991.87045443914 4041049.520498722 0)
N413000440,36.5021836,127.2691351,344989,4041043,101,,1,,POINT Z (344989.33621208835 4041043.3200148987 0)
N413000450,36.5012393,127.2688261,344960,4040939,102,,0,,POINT Z (344959.776286474 4040939.053236112 0)
N413000460,36.5011969,127.2688066,344958,4040934,102,,0,,POINT Z (344957.9453677286 4040934.3895129007 0)
N413000470,36.501217,127.2687477,344953,4040937,101,,1,,POINT Z (344952.7122990712 4040936.709924203 0)
N413000480,36.5012604,127.2687685,344955,4040941,101,,1,,POINT Z (344954.65905779065 4040941.487787474 0)
N413000490,36.5012825,127.2687082,344949,4040944,101,,0,,POINT Z (344949.30222019524 4040944.039865691 0)
