StationID,StationLat,StationLon,StationX,StationY,StaName,SwalkWidth,existence,CurbHeight,CurbType,Fence,LinkID,StationDis,Remark,geometry
S413000010,36.5066238,127.2625077,344405,4041547,,6.4,1,0.15,3,0,L413001840,4.349,,POINT Z (344404.6449819126 4041546.6010819017 0)
S413000020,36.5063389,127.2634338,344487,4041514,,6.5,1,0.15,3,0,L413003990,14.708,,POINT Z (344487.015260999 4041513.5007499973 0)
S413000030,36.5062002,127.2638829,344527,4041497,,6.5,1,0.15,3,0,L413001900,24.611,,POINT Z (344526.9543070001 4041497.3901099986 0)
S413000040,36.5058758,127.2649341,344620,4041460,,0.0,0,0.0,,1,L413001950,4.786,,POINT Z (344620.452843149 4041459.7044070796 0)
S413000050,36.5055762,127.2659068,344707,4041425,,6.9,1,0.15,3,0,L413004220,51.883,,POINT Z (344706.97187699995 4041424.891780999 0)
S413000060,36.5054138,127.266434,344754,4041406,,6.9,1,0.15,3,0,L413002010,6.928,,POINT Z (344753.86000600085 4041406.030583999 0)
S413000070,36.5051993,127.2671293,344816,4041381,,6.9,1,0.15,3,0,L413002010,73.604,,POINT Z (344815.70430300076 4041381.113019 0)
S413000080,36.5047988,127.2684272,344931,4041335,,7.0,1,0.15,3,0,L413002070,15.78,,POINT Z (344931.1443990007 4041334.592377 0)
S413000090,36.5045265,127.2693119,345010,4041303,,6.6,1,0.15,3,0,L413004370,21.904,,POINT Z (345009.8361480009 4041302.9514300004 0)
S413000100,36.5043248,127.2699667,345068,4041280,,6.4,1,0.15,3,1,L413004370,84.685,,POINT Z (345068.0824119266 4041279.523836466 0)
S413000110,36.5044959,127.2697017,345045,4041299,,6.6,1,0.15,3,0,L413004400,29.433,,POINT Z (345044.6870784418 4041298.9335564338 0)
S413000120,36.5047006,127.2690384,344986,4041323,,6.7,1,0.0,2,1,L413004380,7.825,,POINT Z (344985.6907509437 4041322.7090040375 0)
S413000130,36.504932,127.268289,344919,4041350,,6.3,1,0.15,3,0,L413004350,40.337,,POINT Z (344919.0377209161 4041349.584967401 0)
S413000140,36.5052173,127.2673607,344836,4041383,,6.9,1,0.0,2,1,L413004320,0.296,,POINT Z (344836.4646601239 4041382.733483612 0)
S413000150,36.5054203,127.2667053,344778,4041406,,6.9,1,0.15,3,0,L413004290,59.99,,POINT Z (344778.169630999 4041406.3111590003 0)
S413000160,36.5056548,127.2659441,344710,4041434,,6.9,1,0.15,3,0,L413004250,0.986,,POINT Z (344710.4699610005 4041433.5522909984 0)
S413000170,36.5059938,127.2648448,344613,4041473,,0.0,0,0.0,,1,L413004080,1.661,,POINT Z (344612.6941260487 4041472.9323449777 0)
S413000180,36.5062729,127.2639385,344532,4041505,,10.8,1,0.15,3,0,L413001920,16.508,,POINT Z (344532.08115399955 4041505.3634350006 0)
S413000190,36.5064188,127.2634658,344490,4041522,,8.8,1,0.15,3,0,L413001890,25.801,,POINT Z (344490.0350800006 4041522.3147569997 0)
